Season,Circuit,Driver,Stint,Team,Compound,NLaps,TyreLifeStart,TyreLifeEnd,SlopeSecPerLap,SlopeCILow,SlopeCIHigh,InterceptSec,ResidualStd
2024,Synthetic Park,D07,1.0,Team3,SOFT,8,4.0,12.0,0.048346032588275634,-0.15355094797138236,0.12182161226637807,92.29604009297874,0.45261604477149286
2024,Synthetic Park,D07,3.0,Team3,MEDIUM,28,3.0,35.0,0.04576775300524573,0.03258643106675089,0.056266556130843526,92.32034654278564,0.27347572941257897
2024,Synthetic Park,D08,1.0,Team4,SOFT,19,3.0,23.0,0.0850363816853393,0.0683326404256718,0.09963038940881101,91.6346684693485,0.16586657392372656
2024,Synthetic Park,D08,2.0,Team4,HARD,27,3.0,33.0,0.0293949511499829,0.015707313065268482,0.04552687839834609,92.16603502789467,0.41357342980143025
2024,Synthetic Park,D09,1.0,Team4,HARD,30,3.0,33.0,0.02352917321929624,0.009433301028841611,0.03720631730233966,92.604417836711,0.32061508809428746
2024,Synthetic Park,D09,2.0,Team4,SOFT,17,3.0,23.0,0.07851901606792688,0.056825874410787236,0.09807674184790313,91.94284202826879,0.1920712897801576
2024,Synthetic Park,D10,1.0,Team5,MEDIUM,29,4.0,33.0,0.046618267371941524,0.03398849115620332,0.06089036033684181,92.31941656339541,0.29135315941989226
2024,Synthetic Park,D10,2.0,Team5,HARD,17,3.0,23.0,0.05042596050695233,0.018828180166665653,0.0822577585693196,92.31239604392806,0.3068582917290725
2024,Synthetic Park,D11,1.0,Team5,HARD,15,3.0,17.0,0.03732787354140247,0.0016932615100856197,0.07263882382904399,92.09725160766125,0.24566880623589646
2024,Synthetic Park,D11,2.0,Team5,MEDIUM,32,3.0,39.0,0.04444024058968535,0.03136201254142416,0.05641605275643968,91.95415687834861,0.3265838848448351
2024,Synthetic Park,D12,1.0,Team6,SOFT,11,3.0,14.0,0.08592019770258982,0.012659047701708559,0.15665528828653189,93.26628733376928,0.31698026270391594
2024,Synthetic Park,D12,2.0,Team6,MEDIUM,19,3.0,22.0,0.05170855231616874,0.021244416831589064,0.08105690937923526,93.6504875265642,0.3172059940106857
2024,Synthetic Park,D12,3.0,Team6,HARD,13,6.0,19.0,0.03875435133724087,0.008440316932620817,0.06465910328161328,93.89773865159118,0.1612847858834745
2024,Synthetic Park,D13,1.0,Team6,HARD,14,3.0,16.0,0.0046137511303470545,-0.04430417174142084,0.06982499371524042,92.81720009223368,0.40337729844451614
2024,Synthetic Park,D13,2.0,Team6,MEDIUM,11,3.0,14.0,0.04691191506880159,0.005169199490441183,0.10066198793779384,92.11792437807969,0.1690042849005438
2024,Synthetic Park,D13,3.0,Team6,SOFT,18,3.0,25.0,0.07467878966780926,0.043367598926739574,0.10261666740174746,91.77957180674878,0.35821185444509185
2024,Synthetic Park,D14,1.0,Team7,MEDIUM,17,3.0,22.0,0.04759530617580869,0.029590944157396847,0.06594162975590603,93.07059902193919,0.18270556305053745
2024,Synthetic Park,D14,2.0,Team7,SOFT,27,3.0,33.0,0.08822446249416377,0.07609682582288814,0.10055253615252287,92.5483074621246,0.24886084044540968
2024,Synthetic Park,D15,1.0,Team7,SOFT,6,4.0,9.0,0.17912449806438246,0.0020846992303660272,0.3784031551072786,91.45034158657847,0.1618380674712495
2024,Synthetic Park,D15,2.0,Team7,HARD,8,3.0,10.0,-0.02476768764363039,-0.08971258167070317,0.11353437849929264,93.39872162302966,0.25491851220167705
2024,Synthetic Park,D15,3.0,Team7,MEDIUM,30,3.0,36.0,0.04348721019345732,0.034121696695872096,0.05332491679999665,92.61361939784187,0.24312776597941022
2024,Synthetic Ring,D00,1.0,Team0,SOFT,15,3.0,21.0,0.07826593002097866,0.05287377564003432,0.11125453354443593,92.07269069701267,0.27420250075073294
2024,Synthetic Ring,D00,2.0,Team0,HARD,20,3.0,22.0,0.04427766377446696,0.007437575128455541,0.06892199251541999,92.67021589559775,0.4102329339864626
2024,Synthetic Ring,D01,1.0,Team0,HARD,15,3.0,23.0,0.03446980026054973,0.006585690287344903,0.06210862244200873,92.61403370934458,0.27718447110401695
2024,Synthetic Ring,D01,2.0,Team0,SOFT,18,3.0,20.0,0.10128520469343272,0.07240331159596518,0.13861093492658583,91.5566227855746,0.29776227282721646
2024,Synthetic Ring,D02,2.0,Team1,HARD,28,3.0,31.0,0.029579708883239825,0.011151775694277907,0.043886792666229656,92.6685759896546,0.4871054111562583
2024,Synthetic Ring,D03,1.0,Team1,HARD,9,3.0,16.0,0.054307417737824985,-0.014427319282860809,0.1577415165647409,92.54266549684492,0.3156655795483642
2024,Synthetic Ring,D03,2.0,Team1,MEDIUM,24,3.0,27.0,0.054002116792678724,0.03413671138511916,0.07462781786795958,91.96382972493946,0.28671839245206004
2024,Synthetic Ring,D04,1.0,Team2,SOFT,6,3.0,8.0,0.1125050361428265,-0.2522783452834787,0.5824450500757834,91.12570026959577,0.4044102436395489
2024,Synthetic Ring,D04,2.0,Team2,MEDIUM,11,5.0,16.0,0.08295574955744911,0.04094470139245251,0.15624288984118095,91.45754537980878,0.22000161145536948
2024,Synthetic Ring,D04,3.0,Team2,HARD,16,3.0,18.0,0.005656317306166336,-0.03254507145658688,0.05533791468183343,92.4751330987066,0.3381672628710051
2024,Synthetic Ring,D05,1.0,Team2,HARD,6,3.0,9.0,0.08955817529327348,-0.08115716394383317,0.1894787099045061,91.90206246521812,0.18601649110242896
2024,Synthetic Ring,D05,2.0,Team2,MEDIUM,14,3.0,17.0,0.05239097273156782,0.012955340730385956,0.12023524350709351,91.69607501685833,0.3520326992114468
2024,Synthetic Ring,D05,3.0,Team2,SOFT,12,4.0,15.0,0.07941793879871663,0.04242134576301737,0.12565042566914286,91.61263553497635,0.20018630527398654
2024,Synthetic Ring,D06,1.0,Team3,MEDIUM,8,3.0,14.0,0.06415698756812796,-0.04560654330910552,0.23864625726076127,92.55514729930105,0.31639663359728565
2024,Synthetic Ring,D06,2.0,Team3,SOFT,27,3.0,29.0,0.09435412547095154,0.07817193618479414,0.11405097343123241,91.61748712602447,0.3219497205892229
2024,Synthetic Ring,D07,1.0,Team3,SOFT,7,3.0,9.0,0.011312345120321273,-0.32988546223230486,0.2903668484735107,91.90037697853697,0.46001065823762877
2024,Synthetic Ring,D07,2.0,Team3,HARD,7,4.0,11.0,0.02530395221488746,-0.10107928453585373,0.22925366884081674,92.50104310649891,0.311892841473673
2024,Synthetic Ring,D07,3.0,Team3,MEDIUM,20,3.0,22.0,0.043799095526285116,0.015664472065459734,0.07196155672680742,91.88685536417601,0.2787600285016492
2024,Synthetic Ring,D08,1.0,Team4,SOFT,13,4.0,20.0,0.07655498269898957,0.026958982141752585,0.11237762541447044,92.10154951514623,0.2648349637633041
2024,Synthetic Ring,D08,2.0,Team4,HARD,21,3.0,23.0,0.026323902480897613,0.0029837903054499293,0.04776064703070933,92.94940795146464,0.2493321277650548
2024,Synthetic Ring,D09,1.0,Team4,HARD,11,3.0,19.0,0.02641708665971818,-0.007063292533695692,0.07244365134593929,92.95435073119178,0.2599589506931848
2024,Synthetic Ring,D09,2.0,Team4,SOFT,22,3.0,24.0,0.07905310298350873,0.0527897999777629,0.10386838372293425,92.18258535091357,0.36060559755318067
2024,Synthetic Ring,D10,1.0,Team5,MEDIUM,11,3.0,17.0,0.06438583045590766,0.039429599437777796,0.09966822529298369,92.49107590410657,0.18195922690741329
2024,Synthetic Ring,D10,2.0,Team5,HARD,23,3.0,26.0,0.035811769963021337,0.01025905836583263,0.05951849043846735,93.0170736595454,0.35730044603015937
2024,Synthetic Ring,D11,1.0,Team5,HARD,7,3.0,9.0,0.039324840662992244,-0.08463388076567924,0.313771741543178,92.92636794405306,0.22877959437583426
2024,Synthetic Ring,D11,2.0,Team5,MEDIUM,26,3.0,29.0,0.04685710212075602,0.026539864147634065,0.07019867059698116,92.50656029984377,0.6149978934214556
2024,Synthetic Ring,D12,2.0,Team6,MEDIUM,9,3.0,11.0,-0.019349704228749584,-0.09860701817478912,0.11793491827330627,92.65373686820782,0.34892659071607746
2024,Synthetic Ring,D12,3.0,Team6,HARD,16,3.0,19.0,0.027410465060922456,0.006765857512860407,0.04764049341465437,92.91611495742585,0.16130222730656704
2024,Synthetic Ring,D13,2.0,Team6,MEDIUM,12,7.0,20.0,0.05902722490733279,0.029804085581183415,0.1050106272599848,92.9655501448461,0.23282988117951217
2024,Synthetic Ring,D13,3.0,Team6,SOFT,13,3.0,16.0,0.1042256447405959,0.08042284413231826,0.13395148629393003,92.41140338366289,0.15909570154502792
2024,Synthetic Ring,D14,1.0,Team7,MEDIUM,16,3.0,22.0,0.04191075633458864,0.003450587428355943,0.08553398846416371,92.56448126771244,0.4490426722945641
2024,Synthetic Ring,D14,2.0,Team7,SOFT,18,3.0,21.0,0.10327397941112555,0.07267712009210378,0.13426656678679194,91.80816109743209,0.30108183746267947
2024,Synthetic Ring,D15,1.0,Team7,SOFT,7,3.0,9.0,-0.015754635476594104,-0.37329201405133716,0.22260361690656794,92.8498404539276,0.29139043755583777
2024,Synthetic Ring,D15,2.0,Team7,HARD,12,3.0,14.0,0.02431460864905629,-0.016080132961135973,0.05302353948089452,93.00282072716467,0.15412513899916938
2024,Synthetic Ring,D15,3.0,Team7,MEDIUM,13,3.0,16.0,0.01922333489920805,-0.03512312524922301,0.06689740984795987,92.94829975976893,0.41035075170531154
